Dimension,Threads,Precision,Ptime,Presult,Stime,Sresult,,Presult-Sresult,,Ptime AVG,Stime AVG,,Speedup,Efficiency
10,16,0.001,0.003398,99.488023,0.000608,99.488023,,0,,0.003261333,0.000535667,,0.164247751,0.010265484
10,16,0.001,0.003447,99.488023,0.000495,99.488023,,0,,,,,,
10,16,0.001,0.002939,99.488023,0.000504,99.488023,,0,,,,,,
20,16,0.001,0.009069,389.449678,0.001919,389.449678,,0,,0.008781333,0.001910333,,0.217544792,0.013596549
20,16,0.001,0.008795,389.449678,0.001897,389.449678,,0,,,,,,
20,16,0.001,0.00848,389.449678,0.001915,389.449678,,0,,,,,,
30,16,0.001,0.015666,842.429094,0.006393,842.429094,,0,,0.017781333,0.006385667,,0.359121926,0.02244512
30,16,0.001,0.018993,842.429094,0.006395,842.429094,,0,,,,,,
30,16,0.001,0.018685,842.429094,0.006369,842.429094,,0,,,,,,
40,16,0.001,0.028344,1409.672016,0.014712,1409.672016,,0,,0.028132,0.014690333,,0.522192995,0.032637062
40,16,0.001,0.029532,1409.672016,0.014673,1409.672016,,0,,,,,,
40,16,0.001,0.02652,1409.672016,0.014686,1409.672016,,0,,,,,,
50,16,0.001,0.036756,2012.231654,0.025551,2012.231654,,0,,0.037284333,0.025564667,,0.685667796,0.042854237
50,16,0.001,0.037273,2012.231654,0.025575,2012.231654,,0,,,,,,
50,16,0.001,0.037824,2012.231654,0.025568,2012.231654,,0,,,,,,
60,16,0.001,0.028778,2236.890495,0.025087,2236.890495,,0,,0.028628333,0.025146,,0.878360598,0.054897537
60,16,0.001,0.028398,2236.890495,0.025223,2236.890495,,0,,,,,,
60,16,0.001,0.028709,2236.890495,0.025128,2236.890495,,0,,,,,,
70,16,0.001,0.035643,2643.222972,0.032486,2643.222972,,0,,0.033245333,0.032486667,,0.977179755,0.061073735
70,16,0.001,0.033695,2643.222972,0.032474,2643.222972,,0,,,,,,
70,16,0.001,0.030398,2643.222972,0.0325,2643.222972,,0,,,,,,
80,16,0.001,0.039999,3086.218242,0.042262,3086.218242,,0,,0.039926333,0.042231667,,1.057739671,0.066108729
80,16,0.001,0.03986,3086.218242,0.042225,3086.218242,,0,,,,,,
80,16,0.001,0.03992,3086.218242,0.042208,3086.218242,,0,,,,,,
90,16,0.001,0.04792,3534.853884,0.05337,3534.853884,,0,,0.047150667,0.053407333,,1.13269519,0.070793449
