Dimension,Threads,Precision,Parallel Time,Seq Time,Speed Up,Efficiency
10,16,0.001,0.003666,0.000566,0.154391708,0.009649482
20,16,0.001,0.00995,0.001933,0.194271357,0.01214196
30,16,0.001,0.018533,0.006351,0.34268602,0.021417876
40,16,0.001,0.028893,0.014631,0.50638563,0.031649102
50,16,0.001,0.038292,0.025525,0.666588321,0.04166177
60,16,0.001,0.030299,0.025476,0.840819829,0.052551239
70,16,0.001,0.034503,0.032641,0.946033678,0.059127105
80,16,0.001,0.040213,0.042446,1.055529306,0.065970582
90,16,0.001,0.047534,0.05405,1.137080826,0.071067552
100,16,0.001,0.054102,0.066951,1.237495841,0.07734349
